2023-11-23 19:41:26,942 INFO    StreamThr :28948 [internal.py:wandb_internal():86] W&B internal server running at pid: 28948, started at: 2023-11-23 19:41:26.941193
2023-11-23 19:41:26,944 DEBUG   HandlerThread:28948 [handler.py:handle_request():146] handle_request: status
2023-11-23 19:41:27,289 INFO    WriterThread:28948 [datastore.py:open_for_write():85] open: /Users/aliramlaoui/Library/CloudStorage/GoogleDrive-ramlaouiali@gmail.com/My Drive/Cours 3A/AST/project/unrolled-nn-restoration/wandb/run-20231123_194126-ztuoxrf7/run-ztuoxrf7.wandb
2023-11-23 19:41:27,290 DEBUG   SenderThread:28948 [sender.py:send():380] send: header
2023-11-23 19:41:27,303 DEBUG   SenderThread:28948 [sender.py:send():380] send: run
2023-11-23 19:41:27,669 INFO    SenderThread:28948 [dir_watcher.py:__init__():211] watching files in: /Users/aliramlaoui/Library/CloudStorage/GoogleDrive-ramlaouiali@gmail.com/My Drive/Cours 3A/AST/project/unrolled-nn-restoration/wandb/run-20231123_194126-ztuoxrf7/files
2023-11-23 19:41:27,669 INFO    SenderThread:28948 [sender.py:_start_run_threads():1124] run started: ztuoxrf7 with start time 1700764887.287633
2023-11-23 19:41:27,685 DEBUG   HandlerThread:28948 [handler.py:handle_request():146] handle_request: check_version
2023-11-23 19:41:27,685 DEBUG   SenderThread:28948 [sender.py:send_request():407] send_request: check_version
2023-11-23 19:41:27,738 DEBUG   HandlerThread:28948 [handler.py:handle_request():146] handle_request: run_start
2023-11-23 19:41:27,744 DEBUG   HandlerThread:28948 [system_info.py:__init__():32] System info init
2023-11-23 19:41:27,744 DEBUG   HandlerThread:28948 [system_info.py:__init__():47] System info init done
2023-11-23 19:41:27,744 INFO    HandlerThread:28948 [system_monitor.py:start():194] Starting system monitor
2023-11-23 19:41:27,744 INFO    SystemMonitor:28948 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-11-23 19:41:27,744 INFO    HandlerThread:28948 [system_monitor.py:probe():214] Collecting system info
2023-11-23 19:41:27,744 INFO    SystemMonitor:28948 [interfaces.py:start():190] Started cpu monitoring
2023-11-23 19:41:27,745 INFO    SystemMonitor:28948 [interfaces.py:start():190] Started disk monitoring
2023-11-23 19:41:27,745 DEBUG   HandlerThread:28948 [system_info.py:probe():196] Probing system
2023-11-23 19:41:27,745 INFO    SystemMonitor:28948 [interfaces.py:start():190] Started gpuapple monitoring
2023-11-23 19:41:27,749 INFO    SystemMonitor:28948 [interfaces.py:start():190] Started memory monitoring
2023-11-23 19:41:27,750 INFO    SystemMonitor:28948 [interfaces.py:start():190] Started network monitoring
2023-11-23 19:41:27,753 DEBUG   HandlerThread:28948 [system_info.py:_probe_git():181] Probing git
2023-11-23 19:41:27,768 DEBUG   HandlerThread:28948 [system_info.py:_probe_git():189] Probing git done
2023-11-23 19:41:27,768 DEBUG   HandlerThread:28948 [system_info.py:probe():244] Probing system done
