2023-11-23 19:36:46,717 INFO    StreamThr :28695 [internal.py:wandb_internal():86] W&B internal server running at pid: 28695, started at: 2023-11-23 19:36:46.715943
2023-11-23 19:36:46,724 DEBUG   HandlerThread:28695 [handler.py:handle_request():146] handle_request: status
2023-11-23 19:36:46,727 INFO    WriterThread:28695 [datastore.py:open_for_write():85] open: /Users/aliramlaoui/Library/CloudStorage/GoogleDrive-ramlaouiali@gmail.com/My Drive/Cours 3A/AST/project/unrolled-nn-restoration/wandb/run-20231123_193646-f26l0282/run-f26l0282.wandb
2023-11-23 19:36:46,727 DEBUG   SenderThread:28695 [sender.py:send():380] send: header
2023-11-23 19:36:46,743 DEBUG   SenderThread:28695 [sender.py:send():380] send: run
2023-11-23 19:36:47,153 DEBUG   HandlerThread:28695 [handler.py:handle_request():146] handle_request: check_version
2023-11-23 19:36:47,642 INFO    SenderThread:28695 [dir_watcher.py:__init__():211] watching files in: /Users/aliramlaoui/Library/CloudStorage/GoogleDrive-ramlaouiali@gmail.com/My Drive/Cours 3A/AST/project/unrolled-nn-restoration/wandb/run-20231123_193646-f26l0282/files
2023-11-23 19:36:47,642 INFO    SenderThread:28695 [sender.py:_start_run_threads():1124] run started: f26l0282 with start time 1700764606.721541
2023-11-23 19:36:47,642 DEBUG   SenderThread:28695 [sender.py:send_request():407] send_request: check_version
2023-11-23 19:36:47,689 DEBUG   HandlerThread:28695 [handler.py:handle_request():146] handle_request: run_start
2023-11-23 19:36:47,695 DEBUG   HandlerThread:28695 [system_info.py:__init__():32] System info init
2023-11-23 19:36:47,695 DEBUG   HandlerThread:28695 [system_info.py:__init__():47] System info init done
2023-11-23 19:36:47,695 INFO    HandlerThread:28695 [system_monitor.py:start():194] Starting system monitor
2023-11-23 19:36:47,695 INFO    SystemMonitor:28695 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-11-23 19:36:47,695 INFO    HandlerThread:28695 [system_monitor.py:probe():214] Collecting system info
2023-11-23 19:36:47,696 INFO    SystemMonitor:28695 [interfaces.py:start():190] Started cpu monitoring
2023-11-23 19:36:47,696 DEBUG   HandlerThread:28695 [system_info.py:probe():196] Probing system
2023-11-23 19:36:47,696 INFO    SystemMonitor:28695 [interfaces.py:start():190] Started disk monitoring
2023-11-23 19:36:47,697 INFO    SystemMonitor:28695 [interfaces.py:start():190] Started gpuapple monitoring
2023-11-23 19:36:47,698 INFO    SystemMonitor:28695 [interfaces.py:start():190] Started memory monitoring
2023-11-23 19:36:47,700 INFO    SystemMonitor:28695 [interfaces.py:start():190] Started network monitoring
2023-11-23 19:36:47,704 DEBUG   HandlerThread:28695 [system_info.py:_probe_git():181] Probing git
2023-11-23 19:36:47,720 DEBUG   HandlerThread:28695 [system_info.py:_probe_git():189] Probing git done
2023-11-23 19:36:47,721 DEBUG   HandlerThread:28695 [system_info.py:probe():244] Probing system done
